categoria,produto
Produtos FACIAIS,Cremes hidratantes
Produtos FACIAIS,Séruns anti-idade
Produtos FACIAIS,Protetores solares
Produtos FACIAIS,Tônicos faciais
Produtos FACIAIS,Máscaras de tratamento
Produtos CORPORAIS,Hidratantes corporais
Produtos CORPORAIS,Óleos corporais
Produtos CORPORAIS,Cremes para mãos
Produtos CORPORAIS,Esfoliantes
Produtos CORPORAIS,Desodorantes
Produtos CAPILARES,Shampoo
Produtos CAPILARES,Condicionadores
Produtos CAPILARES,Máscaras capilares
Produtos CAPILARES,Leave-in
Produtos CAPILARES,Finalizadores
