arquivo,uso_sugerido,fonte,bytes
media/missao.jpg,Quem somos / missão,https://www.maxup.com.br/bst/wp-content/uploads/2025/09/missao.jpg,58453
media/video-institucional.mp4,Vídeo hero da página inicial,https://www.maxup.com.br/bst/wp-content/uploads/2025/08/Ultrarealistic_cinematic_video_202508131500_.mp4,1835518
media/linha-produtos.jpg,Linha de produtos,https://www.maxup.com.br/bst/wp-content/uploads/2025/07/products-showcase-B7kni5Op.jpg,39396
media/linha-producao.jpg,Produção e institucional,https://www.maxup.com.br/bst/wp-content/uploads/2025/07/production-line-CtJM1Dkd.jpg,100005
media/equipe-laboratorio.jpg,Equipe e laboratório,https://www.maxup.com.br/bst/wp-content/uploads/2025/07/team-laboratory-CK58PKPD.jpg,127148
media/processo-4b.png,Ícone: produção e envase,https://www.maxup.com.br/bst/wp-content/uploads/2025/07/4b.png,1852
media/processo-4a.png,Variação de ícone: produção e envase,https://www.maxup.com.br/bst/wp-content/uploads/2025/07/4a.png,1857
media/processo-3b.png,Ícone: registros,https://www.maxup.com.br/bst/wp-content/uploads/2025/07/3b.png,1936
media/processo-3a.png,Variação de ícone: registros,https://www.maxup.com.br/bst/wp-content/uploads/2025/07/3a.png,1924
media/processo-2b.png,Ícone: fórmula e design,https://www.maxup.com.br/bst/wp-content/uploads/2025/07/2b.png,1887
media/processo-2a.png,Variação de ícone: fórmula e design,https://www.maxup.com.br/bst/wp-content/uploads/2025/07/2a.png,1881
media/processo-1b.png,Ícone: escolha do produto,https://www.maxup.com.br/bst/wp-content/uploads/2025/07/1b.png,1781
media/processo-1a.png,Variação de ícone: escolha do produto,https://www.maxup.com.br/bst/wp-content/uploads/2025/07/1a.png,1792
media/hero-cosmeticos.jpg,Imagem alternativa de hero,https://www.maxup.com.br/bst/wp-content/uploads/2025/07/hero-cosmetics-CV6vYDJA.jpg,111738
